"b","xL","x_kappa","x_lambda","xU","converged","message"
-2.41,-0.523495958857663,0.710019631022528,1.36556915753259,1.98118560202952,TRUE,"Function criterion near zero"
-2.4,-0.527023698148445,0.702841847504196,1.35845801695133,1.97461748586576,TRUE,"Function criterion near zero"
-2.39,-0.530584895458976,0.695649893241478,1.35133317746775,1.96804371047579,TRUE,"Function criterion near zero"
-2.38,-0.53417954669695,0.688443862765428,1.34419473419574,1.96146440303594,TRUE,"Function criterion near zero"
-2.37,-0.537807641288311,0.681223852007522,1.33704278370255,1.95487969227503,TRUE,"Function criterion near zero"
-2.36,-0.541469162230693,0.673989958278439,1.32987742398645,1.94828970845773,TRUE,"Function criterion near zero"
-2.35,-0.545164086151041,0.666742280246555,1.32269875445416,1.94169458336781,TRUE,"Function criterion near zero"
-2.34,-0.548892383367285,0.659480917916142,1.31550687589786,1.93509445029112,TRUE,"Function criterion near zero"
-2.33,-0.552654017953882,0.652205972605326,1.30830189047207,1.92848944399834,TRUE,"Function criterion near zero"
-2.32,-0.556448947811046,0.6449175469238,1.30108390167025,1.92187970072757,TRUE,"Function criterion near zero"
-2.31,-0.560277124737517,0.637615744750338,1.29385301430115,1.91526535816683,TRUE,"Function criterion near zero"
-2.3,-0.564138494482494,0.630300671322261,1.28660933450826,1.90864655545181,TRUE,"Function criterion near zero"
-2.29,-0.56803299692138,0.622972432764069,1.27935296957303,1.9020234330861,TRUE,"Function criterion near zero"
-2.28,-0.571960565993728,0.615631136737225,1.27208402814997,1.89539613301631,TRUE,"Function criterion near zero"
-2.27,-0.57592112988432,0.608276891968578,1.26480262006965,1.88876479855203,TRUE,"Function criterion near zero"
-2.26,-0.579914611084106,0.600909808352044,1.25750885636254,1.88212957436495,TRUE,"Function criterion near zero"
-2.25,-0.58394092648658,0.593529996897431,1.25020284922389,1.87549060646704,TRUE,"Function criterion near zero"
-2.24,-0.587999987478117,0.586137569717246,1.24288471199319,1.86884804219375,TRUE,"Function criterion near zero"
-2.23,-0.592091700029722,0.578732640015943,1.2355545591346,1.86220203018757,TRUE,"Function criterion near zero"
-2.22,-0.596215964795256,0.571315322058937,1.22821250620961,1.85555272037885,TRUE,"Function criterion near zero"
-2.21,-0.600372677209751,0.563885731149246,1.22085866985254,1.84890026396762,TRUE,"Function criterion near zero"
-2.2,-0.604561727589325,0.556443983604128,1.2134931677462,1.84224481340552,TRUE,"Function criterion near zero"
-2.19,-0.608783001232542,0.548990196731773,1.20611611859752,1.83558652237765,TRUE,"Function criterion near zero"
-2.18,-0.613036378523039,0.541524488808041,1.19872764211324,1.82892554578461,TRUE,"Function criterion near zero"
-2.17,-0.617321735033281,0.534046979053286,1.19132785897579,1.82226203972453,TRUE,"Function criterion near zero"
-2.16,-0.621638941629279,0.526557787609244,1.1839168908191,1.81559616147517,TRUE,"Function criterion near zero"
-2.15,-0.625987864576115,0.51905703551606,1.1764948602047,1.80892806947614,TRUE,"Function criterion near zero"
-2.14,-0.630368365644147,0.511544844689398,1.16906189059786,1.80225792331123,TRUE,"Function criterion near zero"
-2.13,-0.634780302215726,0.504021337897712,1.16161810634387,1.79558588369083,TRUE,"Function criterion near zero"
-2.12,-0.639223527392306,0.496486638739643,1.15416363264455,1.78891211243446,TRUE,"Function criterion near zero"
-2.11,-0.643697890101809,0.488940871621586,1.14669859553488,1.78223677245347,TRUE,"Function criterion near zero"
-2.1,-0.648203235206111,0.481384161735429,1.13922312185981,1.77556002773383,TRUE,"Function criterion near zero"
-2.09,-0.652739403608527,0.47381663503646,1.13173733925134,1.76888204331912,TRUE,"Function criterion near zero"
-2.08,-0.657306232361186,0.466238418221487,1.12424137610571,1.7622029852936,TRUE,"Function criterion near zero"
-2.07,-0.661903554772156,0.458649638707146,1.11673536156088,1.75552302076553,TRUE,"Function criterion near zero"
-2.06,-0.666531200506762,0.451050424629268,1.10921942548226,1.74884231785301,TRUE,"Function criterion near zero"
-2.05,-0.671188995715756,0.443440904738518,1.10169369840866,1.74216104565783,TRUE,"Function criterion near zero"
-2.04,-0.675876763108534,0.435821208503603,1.09415831157822,1.7354793742639,TRUE,"Function criterion near zero"
-2.03,-0.680594322079892,0.428191466008,1.08661339687519,1.72879747471146,TRUE,"Function criterion near zero"
-2.02,-0.685341488809071,0.420551807949955,1.07905908681648,1.72211551898366,TRUE,"Function criterion near zero"
-2.01,-0.690118076363368,0.41290236562219,1.07149551453062,1.71543367999087,TRUE,"Function criterion near zero"
-2,-0.694923894800835,0.405243270891875,1.06392281373703,1.7087521315552,TRUE,"Function criterion near zero"
-1.99,-0.699758751272016,0.397574656180868,1.05634111872557,1.70207104839525,TRUE,"Function criterion near zero"
-1.98,-0.704622450120628,0.389896654446212,1.04875056433628,1.69539060611094,TRUE,"Function criterion near zero"
-1.97,-0.709514792983144,0.382209399160918,1.04115128593957,1.68871098116863,TRUE,"Function criterion near zero"
-1.96,-0.714435578887187,0.374513024295018,1.03354341941655,1.68203235088643,TRUE,"Function criterion near zero"
-1.95,-0.719384604348712,0.366807664296897,1.02592710113978,1.67535489341962,TRUE,"Function criterion near zero"
